Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2026-01-05T05:00:00.000Z,69.4499969482,70.5999984741,68.5199966431,69.0800018311,103313300,0.0,0.0,0.0
2026-01-06T05:00:00.000Z,71.4300003052,73.8399963379,71.3499984741,73.7099990845,105539100,0.0,0.0,0.0
2026-01-07T05:00:00.000Z,69.8199996948,71.5500030518,69.2200012207,70.9599990845,93679500,0.0,0.0,0.0
2026-01-08T05:00:00.000Z,67.2399978638,69.7699966431,66.9199981689,69.7099990845,77918300,0.0,0.0,0.0
2026-01-09T05:00:00.000Z,71.3099975586,72.9899978638,70.8700027466,72.3799972534,90650100,0.0,0.0,0.0
2026-01-12T05:00:00.000Z,76.1100006104,78.1800003052,76.0,77.2300033569,105429600,0.0,0.0,0.0
2026-01-13T05:00:00.000Z,80.0299987793,80.8000030518,77.8600006104,78.5999984741,140656900,0.0,0.0,0.0
2026-01-14T05:00:00.000Z,83.3399963379,84.7799987793,81.2799987793,84.5599975586,177419400,0.0,0.0,0.0
2026-01-15T05:00:00.000Z,80.7399978638,84.3300018311,80.5400009155,83.3199996948,160702100,0.0,0.0,0.0
2026-01-16T05:00:00.000Z,80.3300018311,81.5199966431,78.75,81.0199966431,132767200,0.0,0.0,0.0
2026-01-20T05:00:00.000Z,86.1900024414,86.3300018311,84.3799972534,85.3899993896,101272300,0.0,0.0,0.0
2026-01-21T05:00:00.000Z,85.5999984741,85.9000015259,81.8899993896,83.9599990845,141683900,0.0,0.0,0.0
2026-01-22T05:00:00.000Z,84.7900009155,87.5199966431,84.7099990845,87.1299972534,86965000,0.0,0.0,0.0
2026-01-23T05:00:00.000Z,90.1900024414,92.9800033569,89.6699981689,92.9100036621,143739100,0.0,0.0,0.0
2026-01-26T05:00:00.000Z,99.3700027466,106.6999969482,96.5100021362,98.3399963379,393030300,0.0,0.0,0.0
2026-01-27T05:00:00.000Z,97.9800033569,101.7399978638,95.0699996948,101.5899963379,215489700,0.0,0.0,0.0
2026-01-28T05:00:00.000Z,102.7799987793,106.4499969482,100.0,105.5999984741,184566000,0.0,0.0,0.0
2026-01-29T05:00:00.000Z,109.5299987793,109.8300018311,96.7399978638,105.5699996948,246351300,0.0,0.0,0.0
2026-01-30T05:00:00.000Z,89.3300018311,92.1399993896,69.1200027466,75.4400024414,510687700,0.0,0.0,0.0
2026-02-02T05:00:00.000Z,73.8000030518,74.9199981689,68.2600021362,72.4400024414,220063200,0.0,0.0,0.0
2026-02-03T05:00:00.000Z,79.0500030518,80.7200012207,74.9100036621,76.9599990845,175508800,0.0,0.0,0.0
2026-02-04T05:00:00.000Z,82.5999984741,82.8000030518,75.7600021362,79.1800003052,130805800,0.0,0.0,0.0
2026-02-05T05:00:00.000Z,68.2300033569,70.5199966431,65.5100021362,66.6900024414,170928000,0.0,0.0,0.0
2026-02-06T05:00:00.000Z,67.7200012207,70.8399963379,67.4599990845,70.1900024414,71262700,0.0,0.0,0.0
2026-02-09T05:00:00.000Z,72.8799972534,76.1600036621,72.5500030518,76.0400009155,88229100,0.0,0.0,0.0
2026-02-10T05:00:00.000Z,74.7200012207,75.25,72.4599990845,73.4100036621,68588500,0.0,0.0,0.0
2026-02-11T05:00:00.000Z,76.9199981689,76.9899978638,74.8000030518,76.5599975586,75806900,0.0,0.0,0.0
2026-02-12T05:00:00.000Z,75.1900024414,75.6699981689,67.3600006104,67.7300033569,128437700,0.0,0.0,0.0
2026-02-13T05:00:00.000Z,71.2099990845,71.3199996948,68.8600006104,69.7200012207,69387200,0.0,0.0,0.0
2026-02-19T05:00:00.000Z,71.71,71.83,69.91,70.86,21637629,0.0,0.0,0.0
